scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,434.5578308105469,389.3915100097656,5.3763389587402344e-05,-2.5762972831726074,-7.466392517089844,1.7344951629638672e-05,-0.16451168060302734,-2.290444850921631,3.606081008911133e-06,0.4243927001953125,0.5658974647521973,1.3470649719238281e-05
1,484.3049621582031,60.72798538208008,4.2378902435302734e-05,-2.673011302947998,-7.370018005371094,1.6808509826660156e-05,-0.25292205810546875,-2.4798717498779297,3.4570693969726562e-06,0.40217041969299316,0.5031929016113281,1.1742115020751953e-05
2,434.62152099609375,388.3829650878906,0.00011044740676879883,-2.668508529663086,-7.478091239929199,1.6421079635620117e-05,-0.21496343612670898,-2.3246731758117676,3.3080577850341797e-06,0.22456598281860352,0.7315652370452881,1.0401010513305664e-05
3,434.8865966796875,388.8191223144531,5.462765693664551e-05,-2.840303421020508,-7.342048645019531,1.4930963516235352e-05,-0.05182170867919922,-2.059288501739502,2.8014183044433594e-06,0.23734498023986816,1.055884838104248,1.1205673217773438e-05
4,434.5677795410156,388.81182861328125,0.00010445713996887207,-2.7638211250305176,-7.3702239990234375,1.4841556549072266e-05,-0.21975374221801758,-2.1748414039611816,3.546476364135742e-06,-0.2455143928527832,1.1330714225769043,1.1414289474487305e-05
5,-2.544368267059326,-3.1245675086975098,4.1157007217407227e-05,-2.6343040466308594,-7.426870346069336,1.570582389831543e-05,-0.2180647850036621,-1.9418554306030273,4.26173210144043e-06,-0.02900981903076172,1.1778802871704102,1.5974044799804688e-05
6,484.4206237792969,60.580474853515625,5.677342414855957e-05,-2.3145203590393066,-7.556312561035156,1.6510486602783203e-05,-0.1501011848449707,-2.05129337310791,4.202127456665039e-06,0.31958913803100586,0.8375406265258789,1.4930963516235352e-05
7,434.75335693359375,388.53271484375,0.00011023879051208496,-2.38291597366333,-7.366998672485352,1.683831214904785e-05,-0.08196449279785156,-2.318725109100342,4.0531158447265625e-06,0.3245372772216797,0.7890334129333496,1.558661460876465e-05
8,434.47607421875,388.101318359375,0.00016796588897705078,-2.4924731254577637,-7.349546432495117,1.4126300811767578e-05,-0.03679609298706055,-2.5486459732055664,3.0100345611572266e-06,0.17790913581848145,0.5455822944641113,1.1026859283447266e-05
9,434.3709411621094,388.1739807128906,0.0002499520778656006,-2.333456039428711,-7.258829116821289,1.570582389831543e-05,-0.13053464889526367,-2.7575550079345703,3.248453140258789e-06,0.4442427158355713,0.612828254699707,1.0251998901367188e-05
10,484.46356201171875,60.86865234375,5.78761100769043e-05,-2.547077178955078,-7.395483016967773,1.4007091522216797e-05,0.09432291984558105,-2.410494804382324,3.039836883544922e-06,0.41418027877807617,0.6255543231964111,1.093745231628418e-05
